0,1,2
1.0,0.131415,0.48089
1.0,-0.509641,-0.084983
1.0,0.507909,0.231097
1.0,-0.743677,-0.876398
1.0,1.271071,1.612637
1.0,-0.019945,-0.327501
1.0,-0.593589,-0.206242
1.0,-0.729686,-1.143175
1.0,-0.789467,-1.038076
1.0,-0.644466,-0.791517
1.0,-0.077182,-0.811735
1.0,-0.000866,0.053251
1.0,-0.140779,-0.084183
1.0,3.150993,2.906063
1.0,-0.931924,-0.650857
1.0,0.380715,0.885086
1.0,-0.865783,-0.327501
1.0,-0.972626,-1.135892
1.0,0.773743,1.290073
1.0,1.310501,2.090396
1.0,-0.297227,-0.707444
1.0,-0.143323,-0.690468
1.0,-0.504553,-0.788283
1.0,-0.0492,-0.650857
1.0,2.403094,1.88749
1.0,-1.145609,-0.731696
1.0,-0.690256,1.003111
1.0,0.668173,1.039488
1.0,0.253521,1.087992
1.0,0.809358,-0.327501
1.0,-0.205648,0.076695
1.0,-1.272803,-1.378409
1.0,0.050011,-0.206242
